stop_name,lat,lon,time_mins,main_mode
Ciudad Real,40.39978,-3.6942,33.18333333333333,metro
VILLAVERDE ALTO,40.34123,-3.71199,79.9,metro
Pº de las Delicias impares,40.40024,-3.6939,33.733333333333334,metro
Ascensor,40.40314,-3.69414,32.55,metro
Ascensor,40.34104,-3.71278,78.83333333333333,metro
EMBAJADORES,40.40513,-3.70268,34.63333333333333,metro
Embajadores,40.40459,-3.70251,35.733333333333334,metro
Ascensor,40.40467,-3.7029,37.016666666666666,metro
LAVAPIES,40.40851,-3.7009,36.31666666666667,metro
CALLAO,40.42014,-3.70566,24.05,metro
Plaza de Callao,40.42002,-3.70581,24.116666666666667,metro
Centro Comercial,40.41971,-3.70549,24.883333333333333,metro
Gran Vía,40.42014,-3.70524,24.183333333333334,metro
Palacio de la Prensa,40.42049,-3.70607,22.8,metro
Jacometrezo,40.42009,-3.70613,23.7,metro
Ascensor,40.42013,-3.7058,23.883333333333333,metro
PLAZA DE ESPAÑA,40.42342,-3.7112,19.266666666666666,metro
Leganitos,40.42319,-3.71097,16.883333333333333,metro
Ascensor,40.42435,-3.70925,17.85,metro
Reyes,40.42364,-3.71067,15.6,metro
Plaza de España,40.42415,-3.71196,18.966666666666665,metro
VENTURA RODRIGUEZ,40.42709,-3.71341,21.6,metro
Ascensor,40.42414,-3.71182,17.983333333333334,metro
Princesa impares,40.42697,-3.71375,23.233333333333334,metro
Princesa pares,40.42718,-3.71358,22.05,metro
ARGÜELLES,40.43066,-3.71596,19.3,metro
Guzmán el Bueno - Ascensor,40.43056,-3.71442,21.416666666666668,metro
Alberto Aguilera,40.43068,-3.71559,20.35,metro
Princesa,40.43469,-3.71897,19.483333333333334,metro
Acceso Intercambiador Ejercito del Aire,40.43473,-3.71961,18.816666666666666,metro
MONCLOA,40.43502,-3.71945,21.1,metro
Altamirano,40.43138,-3.71692,21.25,metro
Ascensor exterior intercambiador,40.4347,-3.71949,18.75,metro
Edificio de acceso intercambiador,40.4351,-3.71924,20.75,metro
Arcipreste de Hita,40.43364,-3.71782,21.483333333333334,metro
Intercambiador E. del Aire,40.43381,-3.71893,20.2,metro
Pº Esperanza,40.40376,-3.70656,30.3,metro
Intercambiador de Moncloa,40.43523,-3.71919,19.316666666666666,metro
Vélez Rubio,40.47684,-3.66285,29.1,metro
HORTALEZA,40.47537,-3.65257,26.166666666666668,metro
MANOTERAS,40.47687,-3.6629,29.016666666666666,metro
Capitán Cortés,40.47488,-3.65234,27.233333333333334,metro
Costa del Sol,40.4742,-3.65204,28.916666666666668,metro
ALONSO MARTINEZ,40.42772,-3.69594,14.35,metro
Santa Bárbara,40.42744,-3.69593,14.866666666666667,metro
ARGÜELLES,40.4306,-3.71596,19.183333333333334,metro
SAN BERNARDO,40.42966,-3.70567,21.233333333333334,metro
BILBAO,40.42885,-3.70114,17.55,metro
Génova pares,40.42738,-3.69544,15.133333333333333,metro
Santa Engracia,40.42803,-3.6956,13.866666666666667,metro
COLON,40.42542,-3.69101,18.433333333333334,metro
Hermanos Álvarez Quintero,40.42784,-3.69707,15.85,metro
Génova impares,40.42573,-3.69167,21.283333333333335,metro
Génova pares,40.4254,-3.69167,20.266666666666666,metro
Goya pares,40.42528,-3.6876,22.666666666666668,metro
VELAZQUEZ,40.42503,-3.68292,20.9,metro
Goya impares,40.4254,-3.68608,24.3,metro
Goya impares,40.42525,-3.68331,22.2,metro
SERRANO,40.42543,-3.68663,23.666666666666668,metro
LISTA,40.42917,-3.67541,19.216666666666665,metro
Conde de Peñalver,40.42971,-3.67542,22.9,metro
Goya pares,40.42507,-3.68345,21.5,metro
GOYA,40.42481,-3.67685,20.733333333333334,metro
DIEGO DE LEON,40.43468,-3.67495,20.833333333333332,metro
Francisco Silvela impares,40.43481,-3.67501,21.2,metro
Conde de Peñalver,40.42856,-3.67554,23.916666666666668,metro
Francisco Silvela pares,40.43405,-3.6748,20.85,metro
Juan Bravo - Conde Peñalver,40.43241,-3.6749,18.45,metro
Francisco Silvela pares,40.435,-3.67452,20.083333333333332,metro
Francisco Silvela pares,40.43261,-3.67237,16.783333333333335,metro
Avda. América impares,40.43781,-3.6772,13.7,metro
Francisco Silvela pares,40.43319,-3.67284,16.616666666666667,metro
Alcántara,40.4332,-3.67332,17.016666666666666,metro
AVENIDA DE AMERICA,40.43803,-3.67664,12.95,metro
Avda. América pares,40.43766,-3.67664,13.583333333333334,metro
Ascensor exterior intercambiador,40.43778,-3.67705,14.366666666666667,metro
Pedro Valdivia,40.43876,-3.6794,16.433333333333334,metro
PROSPERIDAD,40.44419,-3.67482,18.45,metro
AVENIDA DE LA PAZ,40.45354,-3.66118,22.416666666666668,metro
Ramón y Cajal pares,40.45325,-3.66197,23.766666666666666,metro
ALFONSO XIII,40.44825,-3.66791,20.733333333333334,metro
Plaza Prosperidad,40.44428,-3.67474,18.616666666666667,metro
Ulises,40.45604,-3.65617,25.116666666666667,metro
ARTURO SORIA,40.45583,-3.65618,24.45,metro
Avenida de la Paz,40.45264,-3.66372,26.466666666666665,metro
Arturo Soria,40.45565,-3.65603,25.3,metro
Ulises impares,40.45687,-3.65457,27.25,metro
ESPERANZA,40.45945,-3.64582,26.316666666666666,metro
Andorra,40.45957,-3.64586,27.033333333333335,metro
CANILLAS,40.46381,-3.6356,22.866666666666667,metro
Montalbos,40.46461,-3.63575,25.083333333333332,metro
Ascensor,40.46371,-3.63559,23.25,metro
Mota del Cuervo,40.46512,-3.63541,24.15,metro
Gta. Mar de Cristal,40.46944,-3.63888,17.95,metro
Arequipa,40.4689,-3.63833,17.733333333333334,metro
Avda. Barranquilla pares,40.47454,-3.63939,25.633333333333333,metro
SAN LORENZO,40.47447,-3.63958,25.433333333333334,metro
MAR DE CRISTAL,40.46943,-3.63832,17.766666666666666,metro
Ascensor,40.4743,-3.63942,25.3,metro
Santa Virgilia,40.47713,-3.64552,25.6,metro
Ascensor,40.47697,-3.64497,24.933333333333334,metro
PARQUE DE SANTA MARIA,40.47711,-3.64524,24.316666666666666,metro
Intercambiador de Avenida de América,40.43803,-3.67669,16.3,metro
Los Arcos,40.47729,-3.64517,24.983333333333334,metro
ALUCHE,40.38563,-3.7608,35.21666666666667,metro
Maqueda,40.38595,-3.76085,36.233333333333334,metro
Maqueda,40.38597,-3.76088,37.06666666666667,metro
Acceso RENFE,40.38576,-3.7612,36.5,metro
Padre Piquer impares,40.39469,-3.7681,32.5,metro
EMPALME,40.39057,-3.76535,33.483333333333334,metro
CAMPAMENTO,40.39481,-3.76813,32.333333333333336,metro
ALAMEDA DE OSUNA,40.45779,-3.58752,45.166666666666664,metro
CASA DE CAMPO,40.40324,-3.76101,24.8,metro
Camino de Campamento s/n,40.40318,-3.7609,24.8,metro
Corbeta,40.45739,-3.5881,46.5,metro
Ascensor,40.45331,-3.59438,45.1,metro
Ascensor,40.45753,-3.58775,45.916666666666664,metro
Velero,40.45294,-3.59494,46.016666666666666,metro
EL CAPRICHO,40.45347,-3.59401,43.266666666666666,metro
CANILLEJAS,40.44942,-3.60816,39.63333333333333,metro
Alcalá impares,40.44949,-3.60808,39.81666666666667,metro
Alcalá pares,40.44909,-3.60814,39.766666666666666,metro
Alcalá impares,40.44373,-3.61712,37.416666666666664,metro
TORRE ARIAS,40.44374,-3.61699,37.083333333333336,metro
Alcalá pares,40.44357,-3.617,38.13333333333333,metro
